municipioNotificacao,count
Rio Espera,17
Cristália,16
Volta Grande,15
Bom Jesus do Amparo,14
Ponto Chique,14
Umburatiba,12
Senhora do Porto,12
Berizal,11
Consolação,10
São José do Divino,10
Vermelho Novo,8
Urucuia,8
Bugre,8
Santa Cruz de Salinas,7
São José da Varginha,7
Verdelândia,7
Olhos-d'Água,6
Indaiabira,6
Nova União,3
Pequeri,3
Vitória da Conquista,2
Ibirite,2
São José do Mantimento,2
Lajinha,1
Uberlandia,1
