Município,População
Serrania,7802
Serranópolis de Minas,4496
Serranos,2035
Serro,22550
Sete Lagoas,237931
Silveirânia,2391
Silvianópolis,6336
Simão Pereira,3060
Simonésia,20339
Sobrália,5175
Soledade de Minas,5733
Tabuleiro,4098
Taiobeiras,34392
Taparuba,3492
Tapira,4212
Tapiraí,1707
Taquaraçu de Minas,4368
Tarumirim,15072
Teixeiras,12634
Teófilo Otoni,142571
Timóteo,84087
Tiradentes,8008
Tiros,8172
Tocantins,16574
Tocos do Moji,3899
Toledo,7541
Tombos,8699
Três Corações,78079
Três Marias,29927
Três Pontas,57086
Tumiritinga,5973
Tupaciguara,26482
Turmalina,20650
Turvolândia,5078
Ubá,107222
Ubaí,11977
Ubaporanga,13423
Uberaba,354142
Uberlândia,754954
Umburatiba,2742
Unaí,90724
União de Minas,3848
Uruana de Minas,3360
Urucânia,10875
Urucuia,18291
Vargem Alegre,5834
Vargem Bonita,2206
Vargem Grande do Rio Pardo,4727
Varginha,142802
Varjão de Minas,7243
Várzea da Palma,34639
Varzelândia,19214
Vazante,20433
Verdelândia,7770
Veredinha,5257
Veríssimo,3480
Vermelho Novo,5034
Vespasiano,136826
Viçosa,79221
Vieiras,3780
Virgem da Lapa,11867
Virgínia,9142
Virginópolis,10519
Virgolândia,4530
Visconde do Rio Branco,40608
Volta Grande,4473
Wenceslau Braz,2387
