municipioNotificacao,count
Jesuânia,314
Cambuí,309
Passa-Vinte,308
Icaraí de Minas,306
Abre Campo,305
Cantagalo,304
Senhora dos Remédios,303
Miravânia,299
Glaucilândia,298
Fruta de Leite,296
Pratinha,293
Patis,290
Novorizonte,289
Córrego Novo,279
Diogo de Vasconcelos,278
Ibiracatu,275
Caranaíba,275
Senador José Bento,274
São Domingos das Dores,273
Capitólio,271
Montezuma,271
Congonhal,271
Lagoa dos Patos,269
Santa Fé de Minas,267
Mesquita,262
Vargem Alegre,254
Santana do Garambéu,253
Santo Hipólito,251
Águas Vermelhas,248
Aracitaba,244
Juramento,243
Vieiras,242
Veredinha,242
Serranos,242
Bugre,239
Oratórios,238
Bom Jesus do Amparo,236
Nova Porteirinha,233
Juvenília,232
Martins Soares,221
São João do Manteninha,217
Passabém,216
Dom Joaquim,214
Bonfinópolis de Minas,208
Periquito,204
Iraí de Minas,201
Itambé do Mato Dentro,196
Dores de Campos,190
Acaiaca,188
Arapuá,186
Mata Verde,185
Simão Pereira,184
Vargem Grande do Rio Pardo,173
Sardoá,172
Piedade dos Gerais,167
José Gonçalves de Minas,147
Frei Lagonegro,140
Rio Espera,137
Ataléia,137
Piedade de Ponte Nova,134
Santo Antônio do Retiro,130
Alpercata,124
Volta Grande,115
Rio Doce,115
Olaria,114
Senhora do Porto,107
Tapiraí,107
Caiana,102
São Sebastião do Rio Preto,84
Umburatiba,74
Cristália,74
Ponto Chique,71
Vermelho Novo,70
Santa Rita de Jacutinga,54
Santa Cruz de Salinas,53
São José do Divino,52
Berizal,45
Urucuia,43
Consolação,40
Indaiabira,40
São José da Varginha,38
Uba,32
Olhos-d'Água,23
Nova União,22
Pequeri,19
Goiana,19
Para De Minas,19
São José do Mantimento,17
Vitória da Conquista,11
Minduri,11
Lajinha,9
Ibirite,8
Guanhaes,8
Bom Jesus Do Galho,6
Pratapolis,5
Uberlandia,5
Pedra Dourada,5
Janauba,4
Santana Do Paraiso,2
Joao Pinheiro,2
GOVERNADOR VALADAREZ,2
Espirito Santo Do Dourado,2
Sao Lourenco,2
Timoteo,2
Sao Bernardo Do Campo,1
Cancelado,1
Joao Monlevade,1
Cura,1
Sabara,1
Sao Sebastiao Do Paraiso,1
Santana Do Riacho,1
Joaima,1
Jaiba,1
Virginopolis,1
Itajuba,1
Patos De Minas,1
Campanário,1
Muriae,1
Cassia,1
3136702,1
Piedade De Caratinga,1
Aimores,1
Divinolandia De Minas,1
Corrego Fundo,1
Pocos De Caldas,1
